Sid,Date,Close
FIBBG000B9XRY4,2023-07-11,187.3402
FIBBG000B9XRY4,2023-07-12,189.0235
FIBBG000B9XRY4,2023-07-13,189.7905
FIBBG000B9XRY4,2023-07-14,189.9399
FIBBG000B9XRY4,2023-07-17,193.2269
FIBBG000B9XRY4,2023-07-18,192.968
FIBBG000B9XRY4,2023-07-19,194.3326
FIBBG000B9XRY4,2023-07-20,192.3703
FIBBG000B9XRY4,2023-07-21,191.185
FIBBG000B9XRY4,2023-07-24,191.9918
FIBBG000B9XRY4,2023-07-25,192.8584
FIBBG000B9XRY4,2023-07-26,193.7349
FIBBG000B9XRY4,2023-07-27,192.46
FIBBG000B9XRY4,2023-07-28,195.0597
FIBBG000B9XRY4,2023-07-31,195.6773
FIBBG000B9XRY4,2023-08-01,194.8356
FIBBG000B9XRY4,2023-08-02,191.8225
FIBBG000B9XRY4,2023-08-03,190.418
FIBBG000B9XRY4,2023-08-04,181.2741
FIBBG000B9XRY4,2023-08-07,178.1465
FIBBG000B9XRY4,2023-08-08,179.0928
FIBBG000B9XRY4,2023-08-09,177.4891
FIBBG000B9XRY4,2023-08-10,177.27
FIBBG000B9XRY4,2023-08-11,177.3298
FIBBG000B9XRY4,2023-08-14,178.9955
FIBBG000B9XRY4,2023-08-15,176.9907
FIBBG000B9XRY4,2023-08-16,176.113
FIBBG000B9XRY4,2023-08-17,173.5496
FIBBG000B9XRY4,2023-08-18,174.0383
FIBBG000B9XRY4,2023-08-21,175.3848
FIBBG000B9XRY4,2023-08-22,176.7712
FIBBG000B9XRY4,2023-08-23,180.6512
FIBBG000B9XRY4,2023-08-24,175.9234
FIBBG000B9XRY4,2023-08-25,178.1477
FIBBG000B9XRY4,2023-08-28,179.7236
FIBBG000B9XRY4,2023-08-29,183.6434
FIBBG000B9XRY4,2023-08-30,187.1643
FIBBG000B9XRY4,2023-08-31,187.3837
FIBBG000B9XRY4,2023-09-01,188.9696
FIBBG000B9XRY4,2023-09-05,189.209
FIBBG000B9XRY4,2023-09-06,182.4365
FIBBG000B9XRY4,2023-09-07,177.1004
FIBBG000B9XRY4,2023-09-08,177.7188
FIBBG000B9XRY4,2023-09-11,178.8957
FIBBG000B9XRY4,2023-09-12,175.8437
FIBBG000B9XRY4,2023-09-13,173.7591
FIBBG000B9XRY4,2023-09-14,175.2851
FIBBG000B9XRY4,2023-09-15,174.557
FIBBG000B9XRY4,2023-09-18,177.5093
FIBBG000B9XRY4,2023-09-19,178.6065
FIBBG000B9XRY4,2023-09-20,175.0357
FIBBG000B9XRY4,2023-09-21,173.4798
FIBBG000B9XRY4,2023-09-22,174.3376
FIBBG000B9XRY4,2023-09-25,175.6242
FIBBG000B9XRY4,2023-09-26,171.5149
FIBBG000B9XRY4,2023-09-27,169.9888
FIBBG000B9XRY4,2023-09-28,170.2482
FIBBG000B9XRY4,2023-09-29,170.7668
FIBBG000B9XRY4,2023-10-02,173.3003
FIBBG000B9XRY4,2023-10-03,171.9537
FIBBG000B9XRY4,2023-10-04,173.2105
FIBBG000B9XRY4,2023-10-05,174.4573
FIBBG000B9XRY4,2023-10-06,177.0306
FIBBG000B9XRY4,2023-10-09,178.5267
FIBBG000B9XRY4,2023-10-10,177.9282
FIBBG000B9XRY4,2023-10-11,179.3346
FIBBG000B9XRY4,2023-10-12,180.2422
FIBBG000B9XRY4,2023-10-13,178.3871
FIBBG000B9XRY4,2023-10-16,178.2574
FIBBG000B9XRY4,2023-10-17,176.6915
FIBBG000B9XRY4,2023-10-18,175.3848
FIBBG000B9XRY4,2023-10-19,175.0058
FIBBG000B9XRY4,2023-10-20,172.4325
FIBBG000B9XRY4,2023-10-23,172.5522
FIBBG000B9XRY4,2023-10-24,172.9911
FIBBG000B9XRY4,2023-10-25,170.6571
FIBBG000B9XRY4,2023-10-26,166.458
FIBBG000B9XRY4,2023-10-27,167.7846
FIBBG000B9XRY4,2023-10-30,169.8492
FIBBG000B9XRY4,2023-10-31,170.328
FIBBG000B9XRY4,2023-11-01,173.5197
FIBBG000B9XRY4,2023-11-02,177.1104
FIBBG000B9XRY4,2023-11-03,176.1927
FIBBG000B9XRY4,2023-11-06,178.7661
FIBBG000B9XRY4,2023-11-07,181.3494
FIBBG000B9XRY4,2023-11-08,182.4166
FIBBG000B9XRY4,2023-11-09,181.9378
FIBBG000B9XRY4,2023-11-10,186.1624
FIBBG000B9XRY4,2023-11-13,184.5645
FIBBG000B9XRY4,2023-11-14,187.2011
FIBBG000B9XRY4,2023-11-15,187.7704
FIBBG000B9XRY4,2023-11-16,189.4682
FIBBG000B9XRY4,2023-11-17,189.4483
FIBBG000B9XRY4,2023-11-20,191.206
FIBBG000B9XRY4,2023-11-21,190.397
FIBBG000B9XRY4,2023-11-22,191.0662
FIBBG000B9XRY4,2023-11-24,189.7279
FIBBG000B9XRY4,2023-11-27,189.5481
FIBBG000B9XRY4,2023-11-28,190.1573
FIBBG000B9XRY4,2023-11-29,189.1287
FIBBG000B9XRY4,2023-11-30,189.7079
FIBBG000B9XRY4,2023-12-01,190.9963
FIBBG000B9XRY4,2023-12-04,189.1886
FIBBG000B9XRY4,2023-12-05,193.1735
FIBBG000B9XRY4,2023-12-06,192.0749
FIBBG000B9XRY4,2023-12-07,194.0224
FIBBG000B9XRY4,2023-12-08,195.4606
FIBBG000B9XRY4,2023-12-11,192.9338
FIBBG000B9XRY4,2023-12-12,194.4619
FIBBG000B9XRY4,2023-12-13,197.7077
FIBBG000B9XRY4,2023-12-14,197.8575
FIBBG000B9XRY4,2023-12-15,197.3182
FIBBG000B9XRY4,2023-12-18,195.6404
FIBBG000B9XRY4,2023-12-19,196.689
FIBBG000B9XRY4,2023-12-20,194.5817
FIBBG000B9XRY4,2023-12-21,194.4319
FIBBG000B9XRY4,2023-12-22,193.3533
FIBBG000B9XRY4,2023-12-26,192.804
FIBBG000B9XRY4,2023-12-27,192.9038
FIBBG000B9XRY4,2023-12-28,193.3333
FIBBG000B9XRY4,2023-12-29,192.2846
